Brand,Color_Group,Stars,Num_Ratings,Num_Reviews,RAM,Storage,Expandable,Processor_Brand,Display,Total_Cameras,Battery_Capacity,Price
MOTOROLA,Other,4.1,5605,562,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.55,4,5000.0,16999
Infinix,Blue,4.3,19904,1412,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Other processor,6.82,3,6000.0,8499
Infinix,Black,4.3,19904,1412,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Other processor,6.82,3,6000.0,8499
MOTOROLA,Black,4.1,3542,390,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,7749
POCO,Black,4.2,28462,2197,6 GB RAM ,128 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,3,5000.0,13999
POCO,Black,4.2,18138,1834,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,18499
SAMSUNG,Other,4.5,3550,134,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.5,3,5000.0,8499
POCO,Blue,4.2,56668,4315,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,3,5000.0,11999
POCO,Blue,4.2,13556,1097,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,3,5000.0,15999
POCO,Yellow,4.3,49481,4283,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,3,5000.0,14999
MOTOROLA,Other,4.2,72662,6836,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,4,5000.0,10998
MOTOROLA,Blue,4.2,35126,3935,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,4,5000.0,9499
APPLE,Other,4.7,18135,782,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,71999
Infinix,Blue,4.3,1735,218,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.7,3,5000.0,9999
SAMSUNG,Blue,4.4,126250,7344,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Exynos processor,6.6,4,6000.0,10699
APPLE,Other,4.7,193738,10619,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,69900
SAMSUNG,Green,4.5,3550,134,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.5,3,5000.0,8499
vivo,Other,4.5,91604,6253,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.44,4,5000.0,14499
vivo,Other,4.5,91604,6253,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.44,4,5000.0,14499
Google,Other,4.3,30999,3863,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Other processor,6.14,3,4410.0,28999
SAMSUNG,Green,4.4,126250,7344,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Exynos processor,6.6,4,6000.0,10699
POCO,Blue,4.2,28462,2197,6 GB RAM ,128 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,3,5000.0,13999
realme,Black,4.4,171279,9859,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.6,4,5000.0,10999
REDMI,Blue,4.2,25936,1871,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,11999
REDMI,Black,4.2,25936,1871,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,11999
POCO,Blue,4.2,18138,1834,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,18499
Realme,Black,4.3,87820,4718,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,5549
Infinix,Blue,4.2,7869,485,6 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.6,2,5000.0,8999
APPLE,Other,4.7,193738,10619,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,69900
POCO,Yellow,4.2,76042,7634,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,16999
vivo,Blue,4.5,81347,4594,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.58,3,5000.0,11999
vivo,Black,4.5,81347,4594,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.58,3,5000.0,12999
vivo,Black,4.5,81347,4594,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.58,3,5000.0,11999
APPLE,Red,4.7,193738,10619,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,69900
realme,Green,4.4,171279,9859,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.6,4,5000.0,10999
POCO,Yellow,4.2,56668,4315,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,3,5000.0,11999
